Time(s),FPS
1.00108,50
2.0164,49
3.01649,53
4.03008,52
5.03994,53
6.05482,53
7.06028,53
8.06451,53
9.07466,53
10.0909,53
11.101,53
12.1112,52
13.1256,49
14.1316,52
15.1327,53
16.1413,53
17.1439,53
18.1464,53
19.1554,52
20.1714,53
21.1772,53
22.1866,53
23.1872,53
24.1951,53
25.1973,53
26.2143,54
27.2143,53
28.2158,53
29.2192,53
30.2258,53
31.2318,53
32.2491,53
33.2547,53
34.2657,53
35.2725,53
36.2905,53
37.3029,53
38.3066,53
39.3184,53
40.3205,53
41.3344,53
42.341,53
43.3474,53
44.363,53
45.3698,53
46.3773,53
47.3899,53
48.3914,53
49.3951,53
50.4,53
51.4004,53
52.4085,53
53.418,53
54.4256,53
55.4421,53
56.4459,53
57.4487,53
58.4564,53
59.4629,53
60.4678,53
61.4752,53
62.4757,53
63.4836,53
64.4862,53
65.4975,53
66.4981,52
67.5027,52
68.51,53
69.5212,53
70.5306,53
71.5378,53
72.5542,53
73.5689,53
74.5798,53
75.5846,53
76.5942,53
77.609,53
78.6215,53
79.6276,53
80.6386,53
81.6537,53
82.6643,53
83.6763,53
84.6839,53
85.6934,53
86.7054,53
87.7091,53
88.7154,53
89.7179,53
90.7186,53
91.7328,51
92.7399,53
93.7499,53
94.7571,53
95.7598,53
96.7624,52
97.7696,53
98.7739,53
99.7906,54
100.796,53
101.803,53
102.81,53
103.814,53
104.825,53
105.829,53
106.833,53
107.84,53
108.856,53
109.869,53
110.872,53
111.888,53
112.902,53
113.907,53
114.907,52
115.912,53
116.921,53
117.936,53
118.942,53
119.95,53
120.963,53
121.965,53
122.971,53
123.978,53
124.985,53
125.989,53
126.991,52
128.005,53
129.012,53
130.014,53
131.025,53
132.031,53
133.033,53
134.037,53
135.042,53
136.046,53
137.056,53
138.061,53
139.071,53
140.078,53
141.084,53
142.093,51
143.095,52
144.096,53
145.105,53
146.107,53
147.11,53
148.124,53
149.129,53
150.133,53
151.148,53
152.158,52
153.164,53
154.164,41
155.172,47
156.184,47
157.184,46
158.185,47
159.188,46
160.191,46
161.195,46
162.199,46
163.204,46
164.229,46
165.229,45
166.243,44
167.26,46
168.266,45
169.282,46
170.295,45
171.308,46
172.323,45
173.339,46
174.343,45
175.349,44
176.359,45
177.374,44
178.387,43
179.389,43
180.389,44
181.568,28
182.794,3
183.891,2
185.265,2
186.308,1
187.584,2
188.797,3
189.974,3
191.111,3
192.291,3
193.455,3
194.605,3
195.761,3
196.91,3
198.093,3
199.24,3
200.396,3
201.554,3
202.745,3
203.938,3
205.114,3
206.266,3
207.417,3
208.591,3
209.768,3
210.937,3
212.116,3
213.304,3
214.487,3
215.653,3
216.819,3
217.974,3
219.149,3
220.288,3
221.456,3
222.645,3
223.829,3
224.99,3
226.192,3
227.38,3
228.553,3
229.722,3
230.869,3
232.036,3
233.183,3
234.348,3
235.528,3
236.694,3
237.838,3
238.984,3
240.18,3
241.346,3
242.522,3
243.724,3
244.895,3
246.066,3
247.257,3
248.417,3
249.592,3
250.77,3
251.971,3
253.154,3
254.326,3
255.463,3
256.62,3
257.781,3
258.955,3
260.125,3
261.307,3
262.481,3
263.63,3
264.762,3
265.942,3
267.14,3
268.306,3
269.47,3
270.602,3
271.795,3
273,3
274.156,3
275.325,3
276.493,3
277.655,3
278.804,3
279.963,3
281.136,3
282.308,3
283.309,63
284.324,61
285.326,60
286.342,61
287.358,61
288.362,60
289.363,60
290.379,61
291.38,60
292.381,58
293.389,58
294.396,58
295.401,58
296.404,56
297.408,58
298.414,58
299.419,58
300.424,58
301.426,58
302.437,58
303.454,58
304.455,58
305.461,58
306.471,58
