Time(s),FPS
1.02225,49
2.02682,52
3.03626,55
4.05004,56
5.06767,56
6.08457,55
7.09578,55
8.10623,54
9.11803,55
10.1285,55
11.1328,54
12.1362,55
13.1378,55
14.1387,54
15.1433,55
16.1475,55
17.1576,54
18.1718,54
19.1771,55
20.1815,54
21.186,55
22.1912,55
23.2024,55
24.2098,55
25.2176,54
26.2266,55
27.2345,55
28.2462,55
29.2476,55
30.265,55
31.2671,54
32.2791,55
33.2862,55
34.3008,55
35.3077,55
36.3168,55
37.3304,55
38.3321,54
39.3479,55
40.3517,55
41.3551,55
42.3653,55
43.3725,55
44.375,55
45.3797,55
46.3957,56
47.399,54
48.4101,55
49.4124,54
50.4242,55
51.4323,55
52.4331,55
53.4448,56
54.4567,55
55.4745,55
56.4766,55
57.4804,54
58.4903,55
59.5062,55
60.5108,54
61.5181,54
62.5334,55
63.5487,56
64.5556,55
65.5653,55
66.5816,55
67.5881,55
68.5904,55
69.5956,55
70.6009,54
71.6182,55
72.6284,54
73.6422,55
74.6473,55
75.6576,55
76.6674,54
77.6843,54
78.6915,54
79.6963,52
80.7094,55
81.7215,55
82.7329,55
83.7359,55
84.7389,55
85.7476,54
86.7516,55
87.7651,54
88.7818,55
89.7843,55
90.7961,55
91.8057,54
92.8127,55
93.818,55
94.8257,55
95.8323,55
96.8413,55
97.8585,55
98.8591,54
99.8726,55
100.883,54
101.886,55
102.894,55
103.902,55
145.971,20
147.135,1
148.152,49
149.157,53
150.169,53
151.181,53
152.192,53
153.204,53
154.212,53
155.221,53
156.227,53
157.239,53
158.239,52
159.255,53
160.264,53
161.272,53
162.283,53
163.292,53
164.301,53
165.311,53
