Time(s),FPS
1.00044,52
2.0104,53
3.02644,57
4.02948,56
5.04454,58
6.04813,57
7.05933,58
8.064,57
9.07822,56
10.0869,57
11.0984,57
12.1051,57
13.1128,57
14.1256,57
15.138,57
16.1467,56
17.1617,58
18.1621,56
19.173,57
20.1872,58
21.1886,57
22.196,57
23.209,58
24.221,59
25.2301,57
26.2417,57
27.2487,56
28.2555,57
29.2667,57
30.2805,57
31.2832,55
32.2965,58
33.3117,58
34.315,57
35.3317,58
36.3404,57
37.3559,58
38.3653,57
39.3738,57
40.3754,57
41.3927,58
42.4087,58
43.4196,57
44.4347,58
45.4379,57
46.4479,57
47.4544,57
48.4671,57
49.4681,57
50.4818,57
51.4941,58
52.4946,57
71.7355,10
72.7529,45
73.7678,57
74.7691,56
75.7791,55
76.7802,56
77.7846,56
78.7905,56
79.7929,56
80.7932,56
81.7973,56
82.798,56
83.8038,55
84.8049,56
85.8143,56
86.8221,52
87.8274,55
88.8312,56
89.8314,56
90.8455,54
91.8551,56
92.8703,57
93.8739,56
94.8912,57
